                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.6025,                 1.4825,                 2.2475,                0.86873,                0.92105,                0.95746,                0.57593,                 1.3362,                 1.0896,                 1.9233,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.5937,                  1.453,                 2.1586,                0.85276,                0.86842,                0.93632,                0.52825,                 1.5083,                 1.1889,                 2.0105,              0.0007856,              0.0007856,              0.0007856
                     95,                 1.6487,                 1.5874,                 2.1647,                0.80905,                  0.892,                0.92882,                0.52905,                 1.5017,                 1.1804,                 1.9939,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.5837,                 1.4281,                  2.142,                0.88369,                0.93308,                0.95464,                0.60066,                  1.366,                  1.123,                 1.9206,              0.0007592,              0.0007592,              0.0007592
                     97,                  1.502,                 1.4285,                 2.1063,                  0.863,                0.89474,                0.95437,                0.59591,                 1.3048,                 1.1034,                 1.9161,               0.000746,               0.000746,               0.000746
                     98,                 1.5163,                 1.4106,                 2.0979,                0.95192,                0.86835,                0.96101,                0.62947,                 1.3115,                 1.0387,                 1.8653,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.4751,                 1.3895,                 2.0691,                 0.8843,                0.88596,                0.94895,                 0.6269,                 1.2992,                 1.0368,                 1.8236,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.5146,                  1.381,                 2.0774,                0.85677,                0.87719,                0.94578,                0.59976,                 1.2341,                 1.0297,                 1.8446,              0.0007064,              0.0007064,              0.0007064
                    101,                  1.522,                 1.4239,                 2.0945,                0.84789,                0.92906,                0.95081,                0.59706,                 1.2527,                 1.0037,                 1.8491,              0.0006932,              0.0006932,              0.0006932
                    102,                 1.4944,                 1.3743,                 2.1051,                0.86249,                0.93533,                0.95948,                0.62997,                 1.2128,                0.94894,                  1.751,                0.00068,                0.00068,                0.00068
